,bpm_time,bpm
0,2018-07-08,75.62293657688966
1,2018-07-09,74.32738095238095
2,2018-07-10,70.0
3,2018-07-11,70.0
4,2018-07-12,70.0
5,2018-07-13,70.18181818181819
6,2018-07-14,70.0
7,2018-07-15,70.0
8,2018-07-18,65.352
9,2018-07-19,61.75567895002524
10,2018-10-03,57.512770137524555
11,2018-10-04,68.2612381483547
12,2018-10-05,77.22760798047331
13,2018-10-06,78.17751526413592
14,2018-10-07,82.50326816804326
15,2018-10-08,81.26338420542636
16,2018-10-09,72.48308744152573
17,2018-10-10,71.54835185333226
18,2018-10-11,72.5089058524173
19,2018-10-12,68.56237080003703
20,2018-10-13,74.52810902896081
21,2018-10-14,67.49684664307193
22,2018-10-15,69.5639089749043
23,2018-10-16,69.9787228109314
24,2018-10-17,66.17470528072347
25,2018-10-18,69.1738106198045
26,2018-10-19,64.95320878252525
27,2018-10-20,66.53143169847459
28,2018-10-21,67.26911838790932
29,2018-10-22,69.64324002382371
30,2018-10-23,66.65425531914893
31,2018-10-24,67.75845820375082
32,2018-10-25,70.27820129306185
33,2018-10-26,70.32572754519965
34,2018-10-27,70.22455604353638
35,2018-10-28,65.83841121495327
36,2018-10-29,67.88444101475837
37,2018-10-30,71.86491117323473
38,2018-10-31,74.12194893855794
39,2018-11-01,75.79653998343609
40,2018-11-02,68.35821193374576
41,2018-11-03,67.96750868626162
42,2018-11-04,69.71092358180965
43,2018-11-05,63.17256941037967
44,2018-11-06,66.5736640094479
45,2018-11-07,67.77333369415203
46,2018-11-08,68.78102831682007
47,2018-11-09,65.32943618881119
48,2018-11-10,58.44604076177748
49,2018-11-11,64.33458716820061
50,2018-11-12,63.14580478982847
51,2018-11-13,66.71744866353103
52,2018-11-14,62.863476490188816
53,2018-11-16,65.0960746210649
54,2018-11-17,64.7557853133234
55,2018-11-18,66.9134943261222
56,2018-11-19,64.18799954327471
57,2018-11-20,68.0173603680719
58,2018-11-21,69.1752857304515
59,2018-11-22,75.5241889584519
60,2018-11-23,76.54550132712204
61,2018-11-24,68.54207452057717
62,2018-11-25,71.60448380106477
63,2018-11-26,65.93410151691948
64,2018-11-27,62.914730399623366
65,2018-11-28,64.38505121549582
66,2018-11-29,52.49990812201396
67,2018-12-08,71.81680338056177
68,2018-12-09,66.83812462779493
69,2018-12-10,66.30557612559242
70,2018-12-11,69.18493131522256
71,2018-12-12,65.20331408904185
72,2018-12-13,68.92527117084461
73,2018-12-14,68.71183255019223
74,2018-12-15,68.68846523731402
75,2018-12-16,66.87717291857274
76,2018-12-17,68.5270669150308
77,2018-12-18,76.68286320629588
78,2018-12-23,77.62983207483377
79,2018-12-24,71.94524682651623
80,2018-12-25,73.66465517241379
81,2018-12-26,66.95705487278099
82,2018-12-27,55.74551971326165
83,2018-12-28,87.48187587393782
84,2018-12-29,68.36388741994242
85,2018-12-30,69.37510648923357
86,2018-12-31,68.68900449695793
87,2019-01-01,64.56006826925858
88,2019-01-02,66.07435800273997
89,2019-01-03,64.35906612133606
90,2019-01-04,66.11890985778403
91,2019-01-05,68.52694410692588
92,2019-01-06,75.73494442293867
93,2019-01-07,75.11561683843972
94,2019-01-08,59.03160703861229
95,2019-01-10,76.08939461549903
96,2019-01-11,78.04762033312636
97,2019-01-12,86.5893420984523
98,2019-01-13,76.49317184870472
99,2019-01-14,64.40466636944568
100,2019-01-15,71.34715611133521
101,2019-01-16,67.616
102,2019-01-17,72.1535596376873
103,2019-01-18,71.29288844903152
104,2019-01-19,73.40518405701313
105,2019-01-20,71.67365923872481
106,2019-01-21,80.23408365198881
107,2019-01-22,76.55498533724341
108,2019-01-23,72.66920610642116
109,2019-01-24,69.31724918203223
110,2019-01-25,71.85949386270647
111,2019-01-26,73.67146256432959
112,2019-01-27,72.881171253988
113,2019-01-28,73.46019548126638
114,2019-01-29,74.23308390892811
115,2019-01-30,73.16445525351722
116,2019-01-31,69.93619540158265
117,2019-02-01,67.19918797428585
118,2019-02-02,78.9145323844959
119,2019-02-03,70.49912666215911
120,2019-02-04,71.87712707801856
121,2019-02-05,70.64789022702512
122,2019-02-06,71.54428084825844
123,2019-02-07,70.965017976873
124,2019-02-08,71.0534771374003
125,2019-02-09,69.94267478627474
126,2019-02-10,71.25142103721066
127,2019-02-11,67.07560568086883
128,2019-02-12,71.69998835584536
129,2019-02-13,70.62936201198679
130,2019-02-14,65.8381705966134
131,2019-02-15,65.69628681177977
132,2019-02-19,79.86193582355867
133,2019-02-20,83.18575223905124
134,2019-02-21,81.31462903451167
135,2019-02-22,83.82278159166032
136,2019-02-23,80.94960828765747
137,2019-02-24,79.22272277771674
138,2019-02-25,81.25499162146042
139,2019-02-26,81.70939626465905
140,2019-02-27,78.86787967967402
141,2019-02-28,81.30347499413008
142,2019-03-01,80.37591827364555
143,2019-03-02,76.19372110714495
144,2019-03-03,74.94328963795256
145,2019-03-04,75.8428659286593
146,2019-03-05,75.82100970327662
147,2019-03-06,76.05193589249325
148,2019-03-07,76.52135358562887
149,2019-03-08,76.61423836598313
150,2019-03-09,75.5719682131065
151,2019-03-10,74.13322550693384
152,2019-03-11,75.17489010989011
153,2019-03-12,78.94424269512264
154,2019-03-13,78.19559624906641
155,2019-03-14,74.47352270258527
156,2019-03-15,74.35452377612569
157,2019-03-16,68.04304877364315
158,2019-03-17,68.36015741620301
159,2019-03-18,72.29500564722736
160,2019-03-19,70.72069752041793
161,2019-03-20,78.0698753261815
162,2019-03-21,76.16701859940413
163,2019-03-22,60.36688876013905
164,2019-03-25,75.96885884040155
